model,horizon,split,threshold,train_size,val_size,test_size,ensemble,accuracy,precision,recall,f1,roc_auc
rf,90d,60/40,0.05,48847,12212,40707,False,0.4609,0.4609,1.0,0.631,0.6757
xgboost,90d,60/40,0.05,48847,12212,40707,False,0.4782,0.469,0.9997,0.6385,0.6944
lightgbm,90d,60/40,0.05,48847,12212,40707,False,0.4609,0.4609,1.0,0.631,0.6707
catboost,90d,60/40,0.05,48847,12212,40707,False,0.4625,0.4616,1.0,0.6317,0.6955
rnn,90d,60/40,0.05,48847,12212,40707,False,0.4609,0.4609,1.0,0.631,0.6529
gb_ensemble,90d,60/40,0.05,48847,12212,40707,True,0.4609,0.4609,1.0,0.631,0.698
tri_ensemble,90d,60/40,0.05,48847,12212,40707,True,0.4609,0.4609,1.0,0.631,0.6784
logreg,90d,60/20/20,0.05,61059,20353,20354,False,0.4609,0.4609,1.0,0.631,0.6626
rf,90d,60/20/20,0.05,61059,20353,20354,False,0.4609,0.4609,1.0,0.631,0.6735
xgboost,90d,60/20/20,0.05,61059,20353,20354,False,0.4785,0.4691,0.9997,0.6386,0.6976
lightgbm,90d,60/20/20,0.05,61059,20353,20354,False,0.4609,0.4609,1.0,0.631,0.6713
catboost,90d,60/20/20,0.05,61059,20353,20354,False,0.4617,0.4613,1.0,0.6313,0.6951
rnn,90d,60/20/20,0.05,61059,20353,20354,False,0.4609,0.4609,1.0,0.631,0.6552
gb_ensemble,90d,60/20/20,0.05,61059,20353,20354,True,0.4609,0.4609,1.0,0.631,0.6988
tri_ensemble,90d,60/20/20,0.05,61059,20353,20354,True,0.4609,0.4609,1.0,0.631,0.6771
logreg,90d,70/15/15,0.05,71236,15264,15266,False,0.4609,0.4609,1.0,0.631,0.6686
rf,90d,70/15/15,0.05,71236,15264,15266,False,0.4609,0.4609,1.0,0.631,0.6804
xgboost,90d,70/15/15,0.05,71236,15264,15266,False,0.4783,0.4691,0.9996,0.6385,0.7007
lightgbm,90d,70/15/15,0.05,71236,15264,15266,False,0.4609,0.4609,1.0,0.631,0.6773
catboost,90d,70/15/15,0.05,71236,15264,15266,False,0.4688,0.4646,1.0,0.6344,0.7005
rnn,90d,70/15/15,0.05,71236,15264,15266,False,0.4609,0.4609,1.0,0.631,0.6583
gb_ensemble,90d,70/15/15,0.05,71236,15264,15266,True,0.4609,0.4609,1.0,0.631,0.7026
tri_ensemble,90d,70/15/15,0.05,71236,15264,15266,True,0.4609,0.4609,1.0,0.631,0.6839
